gid,year,m_20g_pop,w_20g_pop,m_30g_pop,w_30g_pop,m_40g_pop,w_40g_pop,m_50g_pop,w_50g_pop,m_60g_pop,w_60g_pop,m_70g_pop,w_70g_pop,m_80g_pop,w_80g_pop,m_90g_pop,w_90g_pop,m_100g_pop,w_100g_pop
다사474467,2023,8.0,9.0,35.0,25.0,9.0,6.0,7.0,0.0,10.0,7.0,,0.0,,0.0,0.0,,,
다사483464,2023,11.0,12.0,29.0,18.0,19.0,15.0,12.0,14.0,17.0,16.0,9.0,11.0,0.0,0.0,0.0,0.0,,
다사455468,2023,26.0,27.0,34.0,48.0,44.0,34.0,39.0,38.0,30.0,32.0,14.0,17.0,7.0,14.0,0.0,0.0,,
다사474470,2023,0.0,0.0,0.0,6.0,13.0,0.0,23.0,0.0,41.0,11.0,12.0,0.0,0.0,0.0,,,,
다사485453,2023,15.0,12.0,16.0,16.0,13.0,14.0,24.0,22.0,30.0,35.0,20.0,13.0,0.0,0.0,,0.0,,
다사477456,2023,19.0,27.0,49.0,37.0,30.0,22.0,27.0,19.0,26.0,28.0,15.0,13.0,8.0,14.0,,0.0,,
다사459474,2023,11.0,13.0,15.0,9.0,9.0,7.0,0.0,7.0,12.0,6.0,6.0,14.0,7.0,0.0,,,,
다사467458,2023,19.0,11.0,14.0,25.0,20.0,18.0,26.0,29.0,16.0,13.0,13.0,22.0,6.0,10.0,,0.0,,
다사476441,2023,34.0,17.0,23.0,31.0,44.0,44.0,33.0,30.0,29.0,29.0,9.0,6.0,0.0,7.0,0.0,0.0,,
다사474455,2023,20.0,17.0,23.0,15.0,18.0,14.0,30.0,24.0,29.0,40.0,24.0,24.0,7.0,13.0,,0.0,,
다사465461,2023,,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,
다사472483,2023,30.0,24.0,23.0,34.0,32.0,32.0,41.0,49.0,46.0,46.0,25.0,28.0,12.0,18.0,0.0,0.0,,
다사471462,2023,,,0.0,,,,,,,,,,,,,,,
다사477471,2023,,,,,,,,,0.0,,0.0,,,,,,,
다사470480,2023,53.0,38.0,31.0,32.0,63.0,77.0,82.0,73.0,58.0,64.0,34.0,37.0,13.0,18.0,0.0,0.0,,
다사460470,2023,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
다사470443,2023,65.0,38.0,41.0,31.0,17.0,30.0,70.0,76.0,62.0,49.0,14.0,25.0,13.0,25.0,0.0,0.0,,
다사472469,2023,0.0,0.0,22.0,13.0,7.0,0.0,14.0,0.0,23.0,0.0,9.0,0.0,0.0,,,,,
다사473453,2023,23.0,21.0,31.0,17.0,19.0,13.0,42.0,37.0,48.0,43.0,29.0,33.0,14.0,19.0,,0.0,,
다사470458,2023,6.0,6.0,11.0,0.0,22.0,10.0,24.0,17.0,18.0,21.0,7.0,12.0,0.0,0.0,,0.0,,
다사464460,2023,,,0.0,,,,,,,0.0,0.0,,,,,,,
다사477446,2023,,0.0,,,,,,0.0,0.0,,0.0,,,,,,,
다사467448,2023,10.0,8.0,6.0,11.0,10.0,0.0,22.0,23.0,15.0,12.0,7.0,7.0,0.0,0.0,0.0,0.0,,
다사477453,2023,26.0,56.0,26.0,59.0,19.0,20.0,11.0,14.0,7.0,10.0,0.0,0.0,0.0,0.0,,0.0,,
다사469450,2023,7.0,6.0,10.0,0.0,7.0,,6.0,8.0,0.0,7.0,0.0,7.0,0.0,0.0,,,,
다사474483,2023,18.0,20.0,44.0,26.0,24.0,18.0,31.0,16.0,31.0,20.0,18.0,19.0,6.0,15.0,0.0,0.0,,0.0
다사469466,2023,43.0,24.0,40.0,43.0,63.0,61.0,56.0,69.0,39.0,52.0,26.0,20.0,0.0,0.0,,0.0,,
다사476465,2023,0.0,,0.0,0.0,6.0,,10.0,0.0,7.0,0.0,,,,,,,,
다사457475,2023,8.0,0.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,,0.0,,
다사460472,2023,11.0,23.0,25.0,13.0,8.0,0.0,20.0,10.0,13.0,12.0,0.0,10.0,0.0,0.0,,0.0,,
다사458472,2023,7.0,16.0,12.0,22.0,19.0,21.0,13.0,18.0,14.0,25.0,17.0,17.0,6.0,14.0,0.0,,,
다사472437,2023,10.0,9.0,6.0,6.0,6.0,7.0,7.0,6.0,8.0,12.0,10.0,12.0,0.0,8.0,,6.0,,0.0
다사471459,2023,43.0,40.0,38.0,39.0,54.0,51.0,60.0,58.0,30.0,39.0,20.0,23.0,7.0,7.0,0.0,0.0,,
다사474437,2023,14.0,15.0,0.0,9.0,13.0,9.0,14.0,13.0,13.0,17.0,9.0,17.0,0.0,8.0,0.0,0.0,,
다사480455,2023,13.0,17.0,15.0,20.0,18.0,12.0,29.0,25.0,41.0,33.0,12.0,24.0,10.0,12.0,0.0,0.0,,0.0
다사479453,2023,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,
다사498473,2023,36.0,22.0,19.0,23.0,30.0,31.0,41.0,49.0,27.0,28.0,20.0,24.0,7.0,12.0,0.0,0.0,,
다사462488,2023,0.0,6.0,7.0,7.0,,0.0,0.0,0.0,,,,,,0.0,,,,
다사500466,2023,6.0,13.0,19.0,26.0,51.0,49.0,26.0,21.0,9.0,13.0,0.0,8.0,8.0,0.0,0.0,0.0,,0.0
다사471482,2023,55.0,54.0,37.0,49.0,53.0,57.0,71.0,94.0,72.0,63.0,35.0,37.0,19.0,23.0,0.0,0.0,0.0,
다사479450,2023,18.0,22.0,15.0,22.0,52.0,53.0,39.0,36.0,23.0,18.0,13.0,11.0,,0.0,0.0,0.0,,
다사471474,2023,23.0,41.0,31.0,44.0,36.0,38.0,47.0,52.0,51.0,61.0,36.0,46.0,13.0,21.0,0.0,0.0,,
다사491467,2023,16.0,16.0,9.0,20.0,26.0,24.0,22.0,30.0,13.0,21.0,17.0,11.0,6.0,10.0,0.0,0.0,,
다사469433,2023,16.0,33.0,19.0,11.0,16.0,14.0,21.0,26.0,19.0,24.0,21.0,23.0,8.0,8.0,,,,0.0
다사471470,2023,16.0,28.0,66.0,64.0,14.0,17.0,26.0,20.0,23.0,18.0,12.0,16.0,0.0,14.0,0.0,0.0,,
다사477477,2023,13.0,44.0,60.0,78.0,0.0,7.0,0.0,0.0,,0.0,,,0.0,,,,,
다사476479,2023,48.0,64.0,81.0,86.0,33.0,36.0,17.0,24.0,23.0,18.0,8.0,8.0,0.0,6.0,0.0,,,
다사476466,2023,48.0,111.0,57.0,63.0,17.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
다사490462,2023,14.0,20.0,54.0,38.0,20.0,16.0,25.0,24.0,18.0,26.0,14.0,22.0,9.0,14.0,0.0,0.0,,
다사460493,2023,22.0,18.0,39.0,44.0,48.0,49.0,37.0,32.0,21.0,27.0,12.0,9.0,0.0,0.0,,,,0.0
다사461472,2023,17.0,31.0,21.0,16.0,9.0,0.0,12.0,0.0,16.0,15.0,8.0,8.0,0.0,0.0,,,,
다사470477,2023,30.0,35.0,29.0,40.0,39.0,35.0,44.0,49.0,46.0,43.0,16.0,17.0,0.0,0.0,,0.0,,
다사471443,2023,14.0,14.0,17.0,20.0,18.0,19.0,24.0,28.0,27.0,29.0,16.0,20.0,10.0,16.0,,0.0,,
다사474461,2023,18.0,23.0,42.0,46.0,34.0,28.0,32.0,34.0,22.0,20.0,9.0,14.0,8.0,14.0,,,,
다사473435,2023,0.0,8.0,10.0,6.0,0.0,7.0,9.0,11.0,13.0,13.0,8.0,10.0,0.0,6.0,,0.0,,
다사472474,2023,28.0,17.0,25.0,33.0,27.0,36.0,49.0,43.0,36.0,40.0,17.0,22.0,10.0,15.0,0.0,0.0,,
다사479452,2023,11.0,8.0,26.0,30.0,34.0,35.0,21.0,25.0,11.0,14.0,0.0,0.0,0.0,0.0,,,,
다사471485,2023,6.0,16.0,32.0,34.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
다사454475,2023,58.0,84.0,133.0,75.0,53.0,29.0,58.0,25.0,24.0,12.0,0.0,6.0,0.0,0.0,,0.0,,
다사464461,2023,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
다사479456,2023,0.0,0.0,11.0,0.0,13.0,18.0,23.0,9.0,12.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,,
다사475469,2023,0.0,0.0,6.0,0.0,14.0,0.0,29.0,0.0,48.0,17.0,28.0,7.0,7.0,0.0,0.0,,,
다사467474,2023,16.0,16.0,23.0,22.0,26.0,19.0,32.0,18.0,29.0,23.0,13.0,10.0,8.0,0.0,,0.0,,
다사472486,2023,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,,,
다사467465,2023,16.0,20.0,8.0,17.0,9.0,20.0,28.0,31.0,23.0,24.0,18.0,16.0,11.0,13.0,,0.0,,
다사478448,2023,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,
다사488469,2023,0.0,0.0,0.0,6.0,13.0,7.0,8.0,14.0,12.0,13.0,8.0,14.0,6.0,8.0,0.0,,,
다사498475,2023,48.0,80.0,75.0,79.0,85.0,104.0,90.0,92.0,59.0,77.0,25.0,41.0,14.0,20.0,0.0,6.0,,
다사467459,2023,10.0,0.0,8.0,9.0,,0.0,6.0,9.0,6.0,8.0,0.0,0.0,0.0,0.0,,,,
다사477470,2023,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
다사471439,2023,20.0,10.0,25.0,14.0,13.0,18.0,26.0,29.0,20.0,32.0,22.0,26.0,14.0,7.0,,0.0,,
다사468485,2023,0.0,0.0,11.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,,,,,0.0,,
