adm_cd,adm_nm,std_ymd,m_pop,fm_pop
1156051500,서울특별시 영등포구 영등포본동,202311,"10,632","10,188"
1156053500,서울특별시 영등포구 영등포동,202311,"15,665","14,900"
1156054000,서울특별시 영등포구 여의동,202311,"15,563","17,612"
1156055000,서울특별시 영등포구 당산제1동,202311,"10,120","10,868"
1156056000,서울특별시 영등포구 당산제2동,202311,"17,129","19,593"
1156058500,서울특별시 영등포구 도림동,202311,"8,896","8,660"
1156060500,서울특별시 영등포구 문래동,202311,"15,638","16,473"
1156061000,서울특별시 영등포구 양평제1동,202311,"8,733","9,435"
1156062000,서울특별시 영등포구 양평제2동,202311,"10,973","11,542"
1156063000,서울특별시 영등포구 신길제1동,202311,"9,769","9,559"
1156065000,서울특별시 영등포구 신길제3동,202311,"7,876","8,132"
1156066000,서울특별시 영등포구 신길제4동,202311,"6,057","6,169"
1156067000,서울특별시 영등포구 신길제5동,202311,"4,823","5,143"
1156068000,서울특별시 영등포구 신길제6동,202311,"8,655","9,114"
1156069000,서울특별시 영등포구 신길제7동,202311,"9,864","9,992"
1156070000,서울특별시 영등포구 대림제1동,202311,"6,850","6,911"
1156071000,서울특별시 영등포구 대림제2동,202311,"5,780","6,003"
1156072000,서울특별시 영등포구 대림제3동,202311,"10,780","10,823"
1156000000,서울특별시 서울특별시 영등포구 ,202312,"183,726","191,068"
1156051500,서울특별시 영등포구 영등포본동,202312,"10,617","10,175"
1156053500,서울특별시 영등포구 영등포동,202312,"15,639","14,918"
1156054000,서울특별시 영등포구 여의동,202312,"15,646","17,704"
1156055000,서울특별시 영등포구 당산제1동,202312,"10,133","10,883"
1156056000,서울특별시 영등포구 당산제2동,202312,"17,116","19,571"
1156058500,서울특별시 영등포구 도림동,202312,"8,909","8,670"
1156060500,서울특별시 영등포구 문래동,202312,"15,627","16,487"
1156061000,서울특별시 영등포구 양평제1동,202312,"8,722","9,424"
1156062000,서울특별시 영등포구 양평제2동,202312,"11,006","11,527"
1156063000,서울특별시 영등포구 신길제1동,202312,"9,787","9,535"
1156065000,서울특별시 영등포구 신길제3동,202312,"7,873","8,125"
1156066000,서울특별시 영등포구 신길제4동,202312,"6,040","6,146"
1156067000,서울특별시 영등포구 신길제5동,202312,"4,804","5,140"
1156068000,서울특별시 영등포구 신길제6동,202312,"8,633","9,089"
1156069000,서울특별시 영등포구 신길제7동,202312,"9,843","9,959"
1156070000,서울특별시 영등포구 대림제1동,202312,"6,819","6,912"
1156071000,서울특별시 영등포구 대림제2동,202312,"5,750","6,006"
1156072000,서울특별시 영등포구 대림제3동,202312,"10,762","10,797"
1156000000,서울특별시 서울특별시 영등포구 ,202201,"185,964","190,985"
1156051500,서울특별시 영등포구 영등포본동,202201,"10,899","10,363"
1156053500,서울특별시 영등포구 영등포동,202201,"15,324","13,928"
1156054000,서울특별시 영등포구 여의동,202201,"15,470","17,509"
1156055000,서울특별시 영등포구 당산제1동,202201,"9,978","10,382"
1156056000,서울특별시 영등포구 당산제2동,202201,"17,609","19,935"
1156058500,서울특별시 영등포구 도림동,202201,"8,950","8,777"
1156060500,서울특별시 영등포구 문래동,202201,"15,996","16,668"
1156061000,서울특별시 영등포구 양평제1동,202201,"8,902","9,384"
1156062000,서울특별시 영등포구 양평제2동,202201,"10,935","11,335"
1156063000,서울특별시 영등포구 신길제1동,202201,"8,838","8,507"
1156065000,서울특별시 영등포구 신길제3동,202201,"8,210","8,387"
1156066000,서울특별시 영등포구 신길제4동,202201,"6,144","6,187"
1156067000,서울특별시 영등포구 신길제5동,202201,"5,153","5,421"
1156068000,서울특별시 영등포구 신길제6동,202201,"9,296","9,728"
1156069000,서울특별시 영등포구 신길제7동,202201,"9,986","10,035"
1156070000,서울특별시 영등포구 대림제1동,202201,"7,229","7,278"
1156071000,서울특별시 영등포구 대림제2동,202201,"5,895","6,045"
1156072000,서울특별시 영등포구 대림제3동,202201,"11,150","11,116"
1156000000,서울특별시 서울특별시 영등포구 ,202202,"185,824","191,060"
1156051500,서울특별시 영등포구 영등포본동,202202,"10,868","10,362"
1156053500,서울특별시 영등포구 영등포동,202202,"15,294","13,989"
1156054000,서울특별시 영등포구 여의동,202202,"15,460","17,507"
1156055000,서울특별시 영등포구 당산제1동,202202,"9,963","10,381"
1156056000,서울특별시 영등포구 당산제2동,202202,"17,612","19,959"
1156058500,서울특별시 영등포구 도림동,202202,"8,961","8,809"
1156060500,서울특별시 영등포구 문래동,202202,"15,938","16,644"
