bplc_nm,lcpmt_dt,lon,lat
GS25대림본점,20130716,126.9029999,37.48882154
인스토어,20130806,126.9031127,37.50664528
선명식품,20130828,126.9271539,37.52439114
(주)코리아세븐 여의금강점,20131018,126.9206222,37.52860265
해피라인,20131111,126.8986462,37.53585161
(주)코리아세븐 전경련회관점,20131209,126.9199114,37.52218073
지에스25(GS25)영등포씨티점,20131227,126.9106689,37.51750063
로그인 신도림역점,20140102,126.8921475,37.51084105
승리슈퍼,20140116,126.9042242,37.5343176
영등포농협 하나로마트 여의대방로점,20140120,126.9219856,37.50536813
씨유 양평한신,20140206,126.8915142,37.54068661
씨유당산그린점,20140206,126.8932057,37.52652009
늘푸른,20140207,126.9073601,37.49924196
대림장터 할인마트,20140207,126.9045526,37.49013344
대박할인매장,20140410,126.8975881,37.5046837
예지 BYC,20140430,126.8978003,37.49562116
씨유문래한신점,20140609,126.8933216,37.51713231
(주)코리아세븐 여의점,20140616,126.9247535,37.53084784
세명이네,20140617,126.9065869,37.50962387
GS25 당산계룡점,20140730,126.9083501,37.52603915
씨유 영등포구청점,20140812,126.896028,37.52462725
GS25영등포우신점,20140827,126.9102299,37.51034229
복권명당신성사,20141016,126.9080495,37.49694165
GS25 당산진미점,20141027,126.9073879,37.52840902
덕일미니슈퍼,20141114,126.9025697,37.50819905
전자담배 여의도점,20141117,126.9208395,37.52922635
시즌미니슈퍼,20141120,126.8938764,37.51172224
세븐일레븐 신길행촌주유소점,20141127,126.9059813,37.50849196
세븐일레븐 당산역점,20141202,126.9037419,37.53325892
양지슈퍼,20141211,126.9074037,37.51023512
잔티샵,20141211,126.9007657,37.52788811
전자담배 동여의도점,20141219,126.9266039,37.52171906
GS25영등포청과점,20141222,126.9016566,37.52344524
씨유 여의산정점,20141229,126.9199168,37.52809162
GS25 문래미원점,20150109,126.8861601,37.52024575
(주)신우웰 하나금융투자점,20150115,126.9218501,37.52267597
대박찬스,20150115,126.9000936,37.50890589
중앙할인마트,20150120,126.8994853,37.49099646
지에스25 신대림자이점,20150202,126.9022408,37.48660693
GS25 영등포병원,20150226,126.8956511,37.52717368
경지상사,20150312,126.9032449,37.52623519
GS25문래에이스점,20150403,126.8975421,37.51474793
이마트24 신길우신점,20150410,126.9133496,37.50892932
GS25 당산SK점,20150414,126.8986768,37.53068893
CU 당산강변점,20150424,126.908526,37.52872588
위드미 대림신길점,20150602,126.9067797,37.49716419
(주)지에스리테일 지에스수퍼 여의도점,20150603,126.9330952,37.52426469
지에스(GS)25영등포당일점,20150612,126.8992057,37.52162938
GS25 영등포시장역점,20150617,126.9046622,37.52214859
신흥상회,20150622,126.8965012,37.51399036
영남슈퍼,20150702,126.9087839,37.52033054
경이매점,20150724,126.9288599,37.52218103
주식회사 파파앤맘스,20150807,126.8982478,37.50674423
이마트24영등포영중점,20150812,126.9029196,37.52295238
(주)비지에프휴먼넷 여의도선착장1호점,20150812,126.9390246,37.52496679
씨유 당산 뉴보문점,20150922,126.8991461,37.52877408
신송매점,20150923,126.9265097,37.52355634
지에스25 동여의점,20151006,126.9287986,37.5201351
이마트24 도림금빛,20151014,126.8979119,37.50882251
GS25 대림제일,20151015,126.9033728,37.48574341
세븐일레븐 당산리슈빌점,20151020,126.8983925,37.52462227
세븐일레븐 당산포스빌점,20151028,126.8993159,37.53493878
훈이네슈퍼,20151120,126.9052386,37.49039208
세븐일레븐 신길정원점,20151209,126.9122295,37.50582844
유성식품,20160108,126.9302285,37.5214005
사랑방멀티숍,20160108,126.9294184,37.51871706
위드미 보라매역점,20160120,126.91999,37.50021395
한일사,20160204,126.8989225,37.49929887
대박 마트,20160205,126.9084635,37.51202897
GS25문래시티점,20160212,126.8975421,37.51474793
GS25 신길타운점,20160212,126.9149207,37.51604398
코레일유통(주) 스토리웨이,20160217,126.9020522,37.52579162
천리마대박마트,20160316,126.9000164,37.49179432
아이리스,20160316,126.901856,37.52064485
(주)코리아세븐 영등포영신점,20160318,126.9038712,37.5197625
씨유 양평경남점,20160318,126.8882175,37.52721214
GS25 당산쉐르빌,20160412,126.9005962,37.53327476
씨유 신길대신시장점,20160415,126.9164136,37.51214713
나들목식당,20160419,126.887864,37.5441844
(주)코리아세븐 양평행운점,20160419,126.8838714,37.52276511
이마트24 영등포공원점,20160420,126.9091835,37.51540552
행복두드리미(주) 버드나루점,20160429,126.9136021,37.52039293
GS25도림현대점,20160512,126.9078291,37.50976149
