ocrn_dt,dsp_rqr_tm,spt_frstt_dist,spt_sf_cntr_dist,dth_cnt,injpsn_cnt,emd_nm,ign_htsrc_nm,fc_plc_lclas_nm,fc_plc_mclas_nm,fc_plc_sclas_nm,lon,lat
2023-10-26 3:50,0:03:43,3.0,1.2,0,0,여의도동,음식물 조리중,생활서비스,음식점,치킨/족발,126.9292937,37.52044215
2022-04-18 18:46,0:02:44,2.3,0.5,0,0,여의도동,불씨/불꽃/화원방치,생활서비스,음식점,일반주점,126.9299977,37.52070134
2023-01-24 8:46,0:01:42,2.8,0.8,0,0,여의도동,미확인단락,판매/업무시설,일반업무,금융기관(농협 등),126.927894,37.52086775
2022-04-17 20:42,0:03:13,3.7,1.1,0,0,여의도동,담배꽁초,판매/업무시설,일반업무,일반빌딩,126.9312982,37.52087248
2023-05-05 0:23,0:02:27,2.4,1.2,0,0,여의도동,불씨/불꽃/화원방치,판매/업무시설,판매시설,상가빌딩,126.9239916,37.52101442
2022-07-30 18:16,0:02:17,4.8,0.7,0,0,여의도동,담배꽁초,판매/업무시설,판매시설,상가빌딩,126.9343126,37.52106079
2021-12-16 2:33,0:04:14,3.6,1.2,0,1,여의도동,불씨/불꽃/화원방치,주거,공동주택,아파트,126.9373261,37.52135273
2023-02-21 23:30,0:09:00,4.1,1.6,0,0,여의도동,미상,주거,공동주택,아파트,126.9373261,37.52135273
2021-06-27 14:38,0:04:32,3.8,1.4,0,0,여의도동,과부하/과전류,주거,공동주택,아파트,126.9373261,37.52135273
2022-02-16 9:45,0:04:51,4.0,1.4,0,0,여의도동,음식물 조리중,판매/업무시설,판매시설,상가빌딩,126.9373261,37.52135273
2023-01-26 10:00,0:02:49,3.4,0.8,0,0,여의도동,트래킹에 의한 단락,주거,공동주택,아파트,126.9373261,37.52135273
2023-04-25 19:19,0:03:05,4.1,1.0,0,0,여의도동,기기(전기/ 기계 등) 사용.설치부주의,주거,공동주택,아파트,126.9373261,37.52135273
2023-03-31 20:40,0:04:00,2.7,0.8,0,0,여의도동,오일/연료누설,자동차/철도차량,자동차,소형 승합차,126.927417,37.52170449
2022-08-11 5:47,0:03:06,3.4,1.1,0,0,여의도동,미확인단락,생활서비스,음식점,한식,126.9266038,37.52172363
